A-00739,"AFGHANISTAN - 1963 IVth ASIAN GAMES - 5V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN',"'SPORTS / GAMES'",,5,'MH',3.99,1,5
A-00527,"AFGHANISTAN - 1963 WOMEN'S DAY / COSTUMES - 5V - MINT NH IMPERF!!!","Condition: Good",STAMPS,'AFGHANISTAN','EVENTS',,5,'MH',6.99,1,5
A-04163,"AFGHANISTAN - 1964 OLYMPIC GAMES, TOKYO - MIN. SHEET - MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','OLYMPICS',,1,'MH',2.50,1,5
A-09390,"AFGHANISTAN - 1975 SOUTH ASIA TOURISM YEAR - MIN. SHEET MINT NH IMPERF!!!","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','EVENTS',,1,'MH',5.99,1,5
A-07075,"AFGHANISTAN - 1985 LEOPARD / WILD ANIMALS WWF - OFFICIAL PROOFS - FDI 4nos","Condition: Good","FOLDER / MAXICARD / FDI",'AFGHANISTAN','ANIMALS',,4,'MH',7.99,1,6
A-08774,"AFGHANISTAN - 1999 BIRDS / PARROTS - 6V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN','BIRDS',,6,'MH',3.39,1,5
A-02787,"AFGHANISTAN - 1999 BIRDS / PARROTS/ BIRD - MINIATURE SHEET - MNH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','BIRDS',,1,'MH',2.99,1,5
A-07287,"AFGHANISTAN - 2002 TRAINS / RAILWAY LOCOMOTIVE - Miniature sheet MNH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'TRAINS RAILWAY'",,1,'MH',4.99,1,5
A-05721,"AFGHANISTAN - 2003 LIGHTHOUSE - 4V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN','LIGHTHOUSE',,4,'MH',14.99,1,5
A-01407,"AFGHANISTAN - 50p AEROGRAMME - MINT","Condition: Good","POSTAL STATIONERY",'AFGHANISTAN','LIGHTHOUSE',,1,'MH',8.50,1,5
A-05974,"AFGHANISTAN - ENVELOPE TO USA OPERATIONS MISSION TO AFGHANISTAN","Condition: as per scan",COVER,'AFGHANISTAN','LIGHTHOUSE',,1,'MH',14.99,1,5
A-06563,"AFGHANISTAN - MINI LOT OF STAMPS - 19V - MINT NH",,STAMPS,'AFGHANISTAN',"'ART & CRAFTS'",,19,'MNH',8.99,1,5
A-07550,"AFGHANISTAN - MINI LOT OF STAMPS - 22V - MINT","Condition: Good",STAMPS,'AFGHANISTAN',"'ART & CRAFTS'",,22,'MNH',6.50,1,5
A-04142,"AFGHANISTAN 1962 ON THE OCCASION OF THE CHILD PROTECTION / SPORTS MIN/SHT MNH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'SPORTS / GAMES'",,1,'MNH',3.99,1,5
A-09852,"AITUTAKI - 1976 OLYMPIC GAMES MONTREAL / ROYAL VISIT - OVPT - MIN/SHT MINT NH","Condition: Good","SOUVENIR SHEETS",'AITUTAKI','OLYMPICS',,1,'MNH',4.50,1,5
A-07582,"1778-1978 CAPTAIN COOK DISCOVERS HAWAII - EXCLUSIVE ALBUM, GREAT BUY !!","<p>Fabulous History illustrated and supported with Mint Miniature sheets and stamps. 1978 release, overprinted for official Govt. Mail usage (On Her Majesty's Service). Collection of 40 Miniature Sheets and 250 stamps approx.Condition: Good</p>","COLLECTIONS, LOTS",'AITUTAKI','OLYMPICS',,1,'MNH',329.99,10,2250
A-02841,"1965 International Cooperation Year Crown Agents SET 62V MNH diff. countries","<p>Condition: Good</p>","COLLECTIONS, LOTS",'AITUTAKI','OLYMPICS',,1,'MNH',32.99,2,150
A-03025,"1977 - Silver Jubilee Coronation Queen Elizabeth II- 75V MNH, All PRISTINE!","Condition: Good","COLLECTIONS, LOTS",'AITUTAKI','CORONATION',,75,'MNH',24.99,1,400
A-03548,"ADEN - 1937 KGVI CORONATION - 3V - FDC REGISTERED","Condition: Good","FIRST DAY COVER",'ADEN',"'FAMOUS PEOPLE'",,3,'MNH',9.99,1,5
A-07374,"ADEN - 1937 KGVI CORONATION - 3V - FDC to EGYPT","Condition: Good","FIRST DAY COVER",'ADEN','CORONATION',,3,'MNH',7.99,1,5
A-07973,"ADEN - 1939 ENVELOPE TO USA WITH KGVI (SG#18 & 19) STAMPS","Condition: as per scan",COVER,'ADEN','CORONATION',,1,'MNH',6.50,1,5
A-01968,"ADEN - 1945 CAPTURE OF ADEN 1839 CAPTAIN RUNDLE SCOTT#23a - FDC","Condition: Good","FIRST DAY COVER",'ADEN',"'FAMOUS PEOPLE'",,1,'MNH',14.99,1,5
A-02748,"ADEN - 1953 SELECTED QEII STAMPS - 12V - MINT LH **","Condition: Good",STAMPS,'ADEN',"'FAMOUS PEOPLE'",,12,'MNH',29.99,1,5
A-04359,"ADEN - 50c KGVI AIR MAIL AEROGRAMME - OVPT - MINT","Condition: Good","POSTAL STATIONERY",'ADEN',"'FAMOUS PEOPLE'",,1,'MNH',9.99,1,5
A-06405,"ADEN - 50c QEII ARI MAIL AEROGRAMME - MINT","Condition: Good","POSTAL STATIONERY",'ADEN',"'FAMOUS PEOPLE'",,1,'MNH',4.99,1,5
A-04678,"ADEN - KGVI 6 As AIR LETTER - UNUSED","Condition: Good","POSTAL STATIONERY",'ADEN',"'FAMOUS PEOPLE'",,1,'MNH',7.99,1,5
A-05000,"ADEN KHATHIRI STATE OF SEIYUN - 1942 SG#1-11 - 11V - MINT HINGED","Condition: Good",STAMPS,'ADEN',"'FAMOUS PEOPLE'",,11,'MNH',27.50,1,5
A-06265,"ADEN PROCT. SOUTH ARABIA QU'AITI STATE HADHRAMAUT 1967 STAMPEX LONDON 7V MNH","Condition: Good",STAMPS,'ADEN',"'FAMOUS PEOPLE'",,7,'MNH',3.50,1,5
A-08916,"AFGHANISTAN - 1944 ENVELOPE TO NEW YORK, USA WITH STAMPS - CENSORD","Condition: as per scan",COVER,'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',29.99,1,5
A-09402,"AFGHANISTAN - 1951 SCOTT#385 - MINT NH",,STAMPS,'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',4.99,1,5
A-01151,"AFGHANISTAN - 1955 SCOTT#430 - MINT NH IMPERF!!!!","Condition: Good",STAMPS,'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',9.99,1,5
A-01408,"AFGHANISTAN - 1957 SCOTT#444 - MINT NH IMPERF!!!!","Condition: Good",STAMPS,'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',7.99,1,5
A-00287,"AFGHANISTAN - 1960 MIR WAIS NIKA MINIATURE SHEET MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',2.50,1,5
A-00673,"AFGHANISTAN - 1960 UNITED NATIONS DAY - SOUVENIR SHEET MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','ORGANIZATIONS',,1,'MNH',4.99,1,5
A-01089,"AFGHANISTAN - 1960 WORLD REFUGEE YEAR - MINATURE SHEET MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','EVENTS',,1,'MNH',3.99,1,5
A-01946,"AFGHANISTAN - 1960-61 WORLD REFUGEE YEAR - SOUVENIR SHEET MNH 2nos","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','EVENTS',,2,'MNH',9.99,1,5
A-08243,"AFGHANISTAN - 1961 ARGICULTURE DAY / DOG / CAMEL - MIN/SHT MNH IMPERF!!!!","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','ANIMALS',,1,'MNH',9.99,1,5
A-06525,"AFGHANISTAN - 1961 CHILDREN'S DAY / UNICEF - MINIATURE SHEET MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN','ORGANIZATIONS',,1,'MNH',2.99,1,5
